"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"29035","Carter, MO","4","CA1","1","...","Personal income (thousands of dollars)",7988,9388,10738,11350,13020,14699,16485,18659,20084,23233,25790,28494,31650,33765,38568,43931,46677,47616,51331,52528,59619,61413,66936,71320,76485,80344,87704,92588,97799,97611,102234,109279,111012,121106,130366,141110,142379,146826,149045,165401,170904,174352,177222,179901,175487,179254,187448
"29035","Carter, MO","4","CA1","2","...","Population (persons) 1/",4039,3902,4120,4302,4618,4653,4934,5132,5386,5478,5592,5466,5610,5600,5570,5565,5600,5548,5503,5514,5501,5524,5621,5612,5734,5753,5786,5895,6002,6013,5911,5974,5915,5944,5994,5982,6008,6030,6117,6122,6138,6299,6318,6263,6313,6265,6263
"29035","Carter, MO","4","CA1","3","...","Per capita personal income (dollars) 2/",1978,2406,2606,2638,2819,3159,3341,3636,3729,4241,4612,5213,5642,6029,6924,7894,8335,8583,9328,9526,10838,11117,11908,12708,13339,13966,15158,15706,16294,16233,17296,18292,18768,20374,21749,23589,23698,24349,24366,27017,27844,27679,28050,28724,27798,28612,29929
"29037","Cass, MO","4","CA1","1","...","Personal income (thousands of dollars)",134652,143911,173268,198997,227208,239871,270132,310624,347040,378341,436619,489936,558029,576197,607476,696336,760928,825087,881129,933190,1015299,1063511,1120766,1261583,1348449,1471223,1558679,1685136,1802177,1935760,2109010,2232831,2413570,2497539,2664715,2833109,2969141,3198065,3377177,3543364,3499293,3535215,3691981,3798825,3889257,4043323,4230366
"29037","Cass, MO","4","CA1","2","...","Population (persons) 1/",37172,39853,41697,44121,46773,47366,48484,49221,49081,49817,49652,51290,52225,52704,53290,54880,55934,57409,59322,60966,62509,64155,65698,66960,68649,70822,72731,74256,76290,78534,80750,82592,84504,86645,88020,90759,92520,94494,96845,98095,98835,99755,99992,100505,100826,100978,101603
"29037","Cass, MO","4","CA1","3","...","Per capita personal income (dollars) 2/",3622,3611,4155,4510,4858,5064,5572,6311,7071,7595,8794,9552,10685,10933,11399,12688,13604,14372,14853,15307,16242,16577,17059,18841,19643,20774,21431,22694,23623,24649,26118,27034,28562,28825,30274,31216,32092,33844,34872,36122,35405,35439,36923,37797,38574,40042,41636
"29039","Cedar, MO","4","CA1","1","...","Personal income (thousands of dollars)",23643,23170,25603,29283,34491,38861,40927,47185,50835,58869,68682,77514,87589,90901,99094,114180,117894,123707,127512,132179,144573,146857,153623,164005,174370,183785,197017,207810,221651,228373,229787,250228,266601,264435,277162,300783,306968,321134,342385,366681,373107,377546,387780,395928,406751,421009,429895
"29039","Cedar, MO","4","CA1","2","...","Population (persons) 1/",9506,9458,9619,10010,10316,10714,10726,11175,11096,11080,11553,11919,11996,12064,12131,12167,12101,12177,12027,12002,12062,12130,12128,12163,12326,12696,13017,13152,13269,13424,13680,13720,13901,13909,13975,14073,14297,14229,14169,14120,13964,13983,13833,13830,13929,13933,13934
"29039","Cedar, MO","4","CA1","3","...","Per capita personal income (dollars) 2/",2487,2450,2662,2925,3343,3627,3816,4222,4581,5313,5945,6503,7302,7535,8169,9384,9743,10159,10602,11013,11986,12107,12667,13484,14147,14476,15135,15801,16704,17012,16797,18238,19179,19012,19833,21373,21471,22569,24164,25969,26719,27000,28033,28628,29202,30217,30852
"29041","Chariton, MO","4","CA1","1","...","Personal income (thousands of dollars)",36289,41866,45057,50525,63098,56075,59080,59046,74007,84766,100119,89259,99611,96312,96543,108171,124668,119983,127601,127407,136120,130810,139559,144266,136846,147529,143312,166210,177508,176534,181979,201135,210684,205359,216461,242929,235698,239432,270784,294551,302847,294429,313821,309493,331901,356992,308714
"29041","Chariton, MO","4","CA1","2","...","Population (persons) 1/",11290,11005,10745,10825,11033,10824,11104,10664,10665,10810,10807,10491,10478,10394,10201,10111,9930,9717,9591,9424,9268,9181,9072,8916,8860,8797,8795,8729,8748,8576,8477,8411,8276,8277,8193,8174,8092,8013,7900,7829,7767,7832,7724,7657,7621,7659,7589
"29041","Chariton, MO","4","CA1","3","...","Per capita personal income (dollars) 2/",3214,3804,4193,4667,5719,5181,5321,5537,6939,7841,9264,8508,9507,9266,9464,10698,12555,12348,13304,13519,14687,14248,15383,16181,15445,16770,16295,19041,20291,20585,21467,23913,25457,24811,26420,29720,29127,29880,34276,37623,38992,37593,40629,40420,43551,46611,40679
"29043","Christian, MO","4","CA1","1","...","Personal income (thousands of dollars)",42336,47459,52419,60557,71848,75066,85060,101002,111430,130709,150419,172331,198814,212507,235702,272370,301683,335156,367619,403210,448332,477663,522282,595364,672520,748468,826608,905532,1004192,1084407,1186429,1300790,1388258,1447765,1535084,1688924,1825936,1991848,2168081,2327474,2314913,2348075,2460725,2600132,2666776,2802256,2970993
"29043","Christian, MO","4","CA1","2","...","Population (persons) 1/",15081,15357,16300,17636,18379,18880,19571,19713,20523,21226,22054,22461,22653,22791,23542,24526,25673,26998,28741,30162,31335,33029,34756,36331,38609,40888,43282,45559,47801,49916,52355,54936,56824,58674,60672,63171,65963,69394,72545,74705,76309,77855,78685,79753,80763,82039,83279
"29043","Christian, MO","4","CA1","3","...","Per capita personal income (dollars) 2/",2807,3090,3216,3434,3909,3976,4346,5124,5430,6158,6820,7672,8776,9324,10012,11105,11751,12414,12791,13368,14308,14462,15027,16387,17419,18305,19098,19876,21008,21725,22661,23678,24431,24675,25301,26736,27681,28703,29886,31156,30336,30160,31273,32602,33020,34158,35675
"29045","Clark, MO","4","CA1","1","...","Personal income (thousands of dollars)",21598,22840,25125,27823,36846,29501,35913,36488,44034,51854,61526,58945,70590,66725,59293,77140,85518,82720,82477,77862,86696,86416,91573,105546,100920,111850,107782,127912,137152,132016,135431,155193,150064,150914,161613,174277,165088,174135,188986,202667,204946,198431,215663,221610,229494,232520,220522
"29045","Clark, MO","4","CA1","2","...","Population (persons) 1/",8348,8247,8220,8276,8299,8225,8295,8205,8223,8247,8213,8490,8465,8324,8237,8141,8054,7930,7916,7762,7686,7523,7538,7568,7546,7439,7521,7538,7548,7518,7452,7387,7433,7366,7281,7239,7224,7206,7212,7168,7111,7126,7030,6977,6905,6881,6801
"29045","Clark, MO","4","CA1","3","...","Per capita personal income (dollars) 2/",2587,2769,3057,3362,4440,3587,4329,4447,5355,6288,7491,6943,8339,8016,7198,9475,10618,10431,10419,10031,11280,11487,12148,13946,13374,15036,14331,16969,18171,17560,18174,21009,20189,20488,22197,24075,22853,24165,26204,28274,28821,27846,30678,31763,33236,33792,32425
